<<<<<<< Updated upstream
,Provider.Name,Provider.State,Occupied.Beds.Per.100,Resource.Supply,Nursing.Staff,Confirmed.COVID.19.Per.1.000,Complete.Vaccination.Per.100,Health.Inspection.Rating,Staffing.Rating,QM.Rating,Overall.Rating
0,15 CRAIGSIDE,HI,0.924390243902439,3.0,0.9,0.0,97.368,5.0,5.0,5.0,5.0
1,60 WEST,CT,0.8631578947368421,4.0,1.0,1113.493,99.3825,5.0,4.0,5.0,5.0
2,A GRACE SUB ACUTE & SKILLED CARE,CA,0.6018072289156627,4.0,1.0,362.86699999999996,89.3275,2.0,3.0,3.0,2.0
3,A HOLLY PATTERSON EXTENDED CARE FACILITY,NY,0.6998679494435013,4.0,1.0,51.27222222222222,78.973,5.0,4.0,5.0,5.0
4,A.G. RHODES HOME WESLEY WOODS,GA,0.7733333333333333,4.0,1.0,624.1733333333333,96.197,2.0,2.0,5.0,3.0
5,"A.G. RHODES HOME, INC - COBB",GA,0.736,4.0,0.8,479.28899999999993,93.454,5.0,3.0,2.0,5.0
6,"A.G. RHODES HOME, INC, THE",GA,0.8011272141706924,4.0,0.8888888888888888,456.3611111111111,89.408,2.0,2.0,5.0,3.0
7,AARON MANOR NURSING & REHABILITATION,CT,0.7566666666666666,4.0,1.0,968.458,99.0,4.0,4.0,5.0,5.0
8,AARON MANOR REHABILITATION AND NURSING CENTER,NY,0.8407142857142857,4.0,0.6666666666666667,271.674,95.868,4.0,2.0,5.0,5.0
9,AASE HAUGEN HOME,IA,0.6155339805825243,4.0,0.09999999999999998,363.11100000000005,98.59200000000001,4.0,4.0,5.0,5.0
10,"ABBEVILLE NURSING HOME, INC.",SC,0.723404255319149,4.0,1.0,33.412,100.0,5.0,4.0,5.0,5.0
11,ABBEY DELRAY,FL,0.9211111111111111,4.0,1.0,123.82555555555557,95.745,2.0,5.0,5.0,4.0
12,ABBEY DELRAY SOUTH,FL,0.7222222222222222,4.0,0.8888888888888888,306.76,85.135,3.0,5.0,4.0,4.0
13,ABBEY REHABILITATION AND NURSING CENTER,FL,0.9007633587786259,4.0,1.0,525.6850000000001,69.84100000000001,2.0,4.0,2.0,3.0
14,ABBEY SENIOR HEALTH,MO,0.8709090909090909,4.0,1.0,390.19300000000004,87.755,4.0,4.0,4.0,4.0
15,ABBEY WOODS CENTER FOR REHABILITATION AND HEALING,MO,0.711,4.0,0.09999999999999998,491.689,67.1825,1.0,1.0,2.0,1.0
16,ABBINGTON REHAB & NURSING CTR,IL,0.6878048780487804,4.0,1.0,855.374,85.0455,5.0,3.0,3.0,5.0
