,state,total.confirmed.NHresident.per1000,total.confirmed.resident,complete.vaccinated.NHresident.per1000,state_name,total.confirmed.state.per1000,overall.rating,health.inspection.rating,qm.rating,staffing.rating
0,AK,124.0623667,3.025,914.856,alaska,42.92,3.944444444,2.944444444,4.388888889,4.529411765
1,AL,533.3282163,11.28761625,836.1826351,alabama,104.54,3.424778761,2.969026549,3.331858407,3.555555556
2,AR,545.2552596,6.600946687,853.4511312,arkansas,95.62,3.169724771,2.811926606,3.555045872,2.976958525
3,AZ,451.0668234,33.39344023,750.6526761,arizona,87.01,3.507246377,2.688405797,4.224637681,3.536231884
4,CA,461.6398473,21.36554074,854.9565378,california,65.98,3.488850772,2.784734134,4.484509466,3.146173689
5,CO,351.4216435,7.650854426,880.0197926,colorado,55.53,3.589041096,2.762557078,4.050228311,4.041284404
6,CT,580.8678731,21.35068134,895.2642823,connecticut,79.77,3.434782609,2.797101449,3.888888889,3.758454106
7,DC,277.1672895,19.61052632,838.1171875,district of columbia,79.35,3.875,3.0625,4.375,4.375
8,DE,390.9651596,14.03457447,918.1082222,delaware,65.08,4,2.906976744,4.162790698,4.511627907
9,FL,375.2415684,21.99645852,750.4086235,florida,77.2,3.490538574,2.818049491,3.861516035,3.849854227
10,GA,490.5241997,12.50326797,820.2005758,georgia,94.34,2.702549575,2.767705382,2.847025496,2.419263456
11,GU,4.762,0,900.79,,,3,2,,5
12,HI,54.26091667,0.915909091,914.3581395,hawaii,16.55,4,2.714285714,4.833333333,4.523809524
13,IA,401.0436503,3.859293395,920.7278184,iowa,74.69,3.345882353,2.809411765,3.641509434,3.674528302
14,ID,340.3798231,4.556504065,820.489,idaho,72.8,3.705128205,2.820512821,4.269230769,4.012987013
15,IL,446.5032105,15.13042606,870.2253161,illinois,84.33,2.928263989,2.776183644,3.229885057,2.823788546
16,IN,458.8389657,7.672491616,844.6589698,indiana,86.83,3.180076628,2.831417625,3.793103448,2.819230769
17,KS,383.1663884,4.656965266,869.609391,kansas,77.28,3.238244514,2.843260188,3.263322884,3.570532915
18,KY,487.8276695,10.57492821,836.2470337,kentucky,83.88,2.946619217,2.829181495,2.90747331,3.035842294
19,LA,445.3505211,11.28406863,811.8464552,louisiana,125.66,2.459558824,2.823529412,2.423791822,1.931818182
20,MA,454.9328841,17.91694815,910.6055464,massachusetts,73.09,3.339673913,2.730978261,3.615803815,3.719346049
